18:55:29.286 [INFO] Retrieving starting article
18:55:29.286 [DEBUG] (1) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Direct and indirect realism
18:55:29.604 [INFO] Initializing LinkCalculator
18:55:29.606 [INFO] Calculating 1 layers of neighbors
18:55:29.612 [DEBUG] (9) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Galen_Strawson
18:55:29.615 [DEBUG] (15) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Inferential_role_semantics
18:55:29.615 [DEBUG] (14) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Willard_Van_Orman_Quine
18:55:29.615 [DEBUG] (13) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Richard_Gregory
18:55:29.616 [DEBUG] (12) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Argument_from_illusion
18:55:29.616 [DEBUG] (6) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Gettier_problem
18:55:29.616 [DEBUG] (8) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Infra-red
18:55:29.616 [DEBUG] (3) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Philosophical_skepticism
18:55:29.616 [DEBUG] (11) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Alvin_Goldman
18:55:29.616 [DEBUG] (5) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Metaphysical
18:55:29.616 [DEBUG] (7) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Fred_Dretske
18:55:29.617 [DEBUG] (16) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Res_extensa
18:55:29.617 [DEBUG] (2) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Late_modern_philosophy
18:55:29.617 [DEBUG] (10) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Reliabilism
18:55:29.623 [DEBUG] (9) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Baruch_Spinoza
18:55:29.624 [DEBUG] (17) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Ragnar_Rommetveit
18:55:29.624 [DEBUG] (15) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Ryle%27s_regress
18:55:29.625 [DEBUG] (13) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Epistemic_virtue
18:55:29.625 [DEBUG] (14) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Evolutionary_epistemology
18:55:29.626 [DEBUG] (3) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/John_Dewey
18:55:29.627 [DEBUG] (11) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Empirical_evidence
18:55:29.627 [DEBUG] (4) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/G._W._F._Hegel
18:55:29.627 [DEBUG] (7) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Internalism_and_externalism
18:55:29.627 [DEBUG] (12) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Analytic%E2%80%93synthetic_distinction
18:55:29.628 [DEBUG] (8) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Faith_and_rationality
18:55:29.628 [DEBUG] (2) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Na%C3%AFve_realism
18:55:29.628 [DEBUG] (10) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Nelson_Goodman
18:55:29.628 [DEBUG] (6) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/David_Lewis_(philosopher)
18:55:29.630 [DEBUG] (16) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Contemporary_philosophy
18:55:29.631 [DEBUG] (5) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Wayback_Machine
18:55:29.632 [DEBUG] (9) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Peter_D._Klein
18:55:29.633 [DEBUG] (13) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Fallibilism
18:55:29.633 [DEBUG] (15) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Duncan_Pritchard
18:55:29.634 [DEBUG] (14) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Cognitivism_(psychology)
18:55:29.635 [DEBUG] (3) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Consciousness
18:55:29.635 [DEBUG] (6) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/John_R._Searle
18:55:29.636 [DEBUG] (4) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Reductionism
18:55:29.636 [DEBUG] (12) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Subjectivism
18:55:29.636 [DEBUG] (8) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Paul_Grice
18:55:29.636 [DEBUG] (11) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Enactivism
18:55:29.637 [DEBUG] (7) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Naturalized_epistemology
18:55:29.637 [DEBUG] (2) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Hilary_Kornblith
18:55:29.637 [DEBUG] (16) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Aristotle
18:55:29.639 [DEBUG] (17) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Perception
18:55:29.645 [DEBUG] (13) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Common_sense
18:55:29.645 [DEBUG] (3) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Homunculus
18:55:29.646 [DEBUG] (10) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/J._G._Fichte
18:55:29.646 [DEBUG] (15) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Thomas_Aquinas
18:55:29.646 [DEBUG] (12) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Laurence_BonJour
18:55:29.646 [DEBUG] (14) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Contextualism
18:55:29.647 [DEBUG] (2) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Simplicity
18:55:29.647 [DEBUG] (9) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Susan_Haack
18:55:29.647 [DEBUG] (5) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Fideism
18:55:29.647 [DEBUG] (4) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Robert_Audi
18:55:29.647 [DEBUG] (7) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Alvin_Plantinga
18:55:29.648 [DEBUG] (17) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/List_of_epistemologists
18:55:29.648 [DEBUG] (16) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Acoustic_location
18:55:29.649 [DEBUG] (11) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Thomas_Hobbes
18:55:29.650 [DEBUG] (6) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Objectivity_(philosophy)
18:55:29.650 [DEBUG] (8) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Procedural_knowledge
18:55:29.653 [DEBUG] (13) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Mind-body_dualism
18:55:29.655 [DEBUG] (12) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/The_Treachery_of_Images
18:55:29.655 [DEBUG] (10) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Anil_Gupta_(philosopher)
18:55:29.655 [DEBUG] (3) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Ellipse
18:55:29.656 [DEBUG] (14) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Thomas_Reid
18:55:29.656 [DEBUG] (11) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/LCCN_(identifier)
18:55:29.656 [DEBUG] (7) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Philosophical_analysis
18:55:29.656 [DEBUG] (9) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Rationalism
18:55:29.657 [DEBUG] (15) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Homunculus_argument
18:55:29.657 [DEBUG] (2) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/David_Hume
18:55:29.657 [DEBUG] (5) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Cognitive_science
18:55:29.658 [DEBUG] (17) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Disjunctivism
18:55:29.658 [DEBUG] (16) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/A_priori_and_a_posteriori
18:55:29.659 [DEBUG] (6) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Private_language_argument
18:55:29.662 [DEBUG] (4) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/David_Chalmers
18:55:29.663 [DEBUG] (12) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Saul_Kripke
18:55:29.664 [DEBUG] (13) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Psychology
18:55:29.664 [DEBUG] (8) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Proposition
18:55:29.664 [DEBUG] (14) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/G._W._Leibniz
18:55:29.665 [DEBUG] (10) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Outline_of_epistemology
18:55:29.665 [DEBUG] (3) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Formal_epistemology
18:55:29.665 [DEBUG] (7) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Neurophysiology
18:55:29.666 [DEBUG] (2) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Realism_(visual_arts)
18:55:29.666 [DEBUG] (11) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Problem_of_induction
18:55:29.667 [DEBUG] (17) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/P._F._Strawson
18:55:29.667 [DEBUG] (16) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/ISBN_(identifier)
18:55:29.668 [DEBUG] (9) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Transcendental_idealism
18:55:29.668 [DEBUG] (6) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Phenomenalism
18:55:29.670 [DEBUG] (15) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Antti_Revonsuo
18:55:29.671 [DEBUG] (4) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Gottlob_Frege
18:55:29.672 [DEBUG] (5) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Foundationalism
18:55:29.673 [DEBUG] (13) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Philosophy_of_mind
18:55:29.674 [DEBUG] (10) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Early_modern_philosophy
18:55:29.674 [DEBUG] (14) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Social_epistemology
18:55:29.674 [DEBUG] (8) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Reference
18:55:29.674 [DEBUG] (3) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Constructivist_epistemology
18:55:29.674 [DEBUG] (12) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Hylomorphism
18:55:29.675 [DEBUG] (7) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Idealism
18:55:29.676 [DEBUG] (2) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/G._E._Moore
18:55:29.676 [DEBUG] (17) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/On_the_Soul
18:55:29.676 [DEBUG] (9) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Tom_Rockmore
18:55:29.677 [DEBUG] (6) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Philosophy_of_science
18:55:29.679 [DEBUG] (11) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Ludwig_Wittgenstein
18:55:29.679 [DEBUG] (16) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Bertrand_Russell
18:55:29.680 [DEBUG] (4) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/William_Alston
18:55:29.681 [DEBUG] (15) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/On_Sense_and_Reference
18:55:29.681 [DEBUG] (13) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Truth
18:55:29.682 [DEBUG] (5) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Susanna_Siegel
18:55:29.682 [DEBUG] (14) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Positivism
18:55:29.682 [DEBUG] (8) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Philosophy_of_perception
18:55:29.683 [DEBUG] (10) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Virtue_epistemology
18:55:29.684 [DEBUG] (12) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/James_Pryor
18:55:29.685 [DEBUG] (11) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Rainbows
18:55:29.685 [DEBUG] (17) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Myles_Burnyeat
18:55:29.685 [DEBUG] (9) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Inference
18:55:29.686 [DEBUG] (3) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Keith_DeRose
18:55:29.686 [DEBUG] (2) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Hallucination
18:55:29.688 [DEBUG] (5) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Epistemology
18:55:29.690 [DEBUG] (15) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/John_McDowell
18:55:29.690 [DEBUG] (13) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/S%C3%B8ren_Kierkegaard
18:55:29.691 [DEBUG] (14) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Problem_of_other_minds
18:55:29.691 [DEBUG] (11) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Wilfrid_Sellars
18:55:29.691 [DEBUG] (8) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Innatism
18:55:29.691 [DEBUG] (3) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Medieval_philosophy
18:55:29.692 [DEBUG] (10) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Anomalous_experiences
18:55:29.692 [DEBUG] (12) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/University_of_Reading
18:55:29.694 [DEBUG] (17) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Oxford_University
18:55:29.694 [DEBUG] (9) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Gilles_Deleuze
18:55:29.698 [DEBUG] (14) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Hilary_Putnam
18:55:29.698 [DEBUG] (15) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Coherentism
18:55:29.699 [DEBUG] (13) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Semantic_holism
18:55:29.699 [DEBUG] (4) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Substance_theory
18:55:29.700 [DEBUG] (11) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Robert_Nozick
18:55:29.700 [DEBUG] (3) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Exploratory_thought
18:55:29.701 [DEBUG] (2) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Map%E2%80%93territory_relation
18:55:29.701 [DEBUG] (16) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Empiricism
18:55:29.701 [DEBUG] (12) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Edmund_Gettier
18:55:29.701 [DEBUG] (8) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Primary/secondary_quality_distinction
18:55:29.701 [DEBUG] (10) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Information_processing_(psychology)
18:55:29.701 [DEBUG] (17) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Mental_substance
18:55:29.705 [DEBUG] (14) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Plato
18:55:29.705 [DEBUG] (15) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/M%C3%BCller-Lyer_illusion
18:55:29.707 [DEBUG] (8) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/John_Cook_Wilson
18:55:29.710 [DEBUG] (14) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Vienna_Circle
18:55:29.712 [DEBUG] (8) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Descriptive_knowledge
18:55:29.716 [DEBUG] (14) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Gilbert_Ryle
18:55:29.717 [DEBUG] (8) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Inductive_reasoning
18:55:29.725 [DEBUG] (12) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Three_Dialogues_between_Hylas_and_Philonous
18:55:29.726 [DEBUG] (16) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Scottish_common_sense_realism
18:55:29.726 [DEBUG] (11) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Belief
18:55:29.726 [DEBUG] (3) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Regress_argument
18:55:29.726 [DEBUG] (15) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/John_Locke
18:55:29.726 [DEBUG] (14) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Ernest_Sosa
18:55:29.726 [DEBUG] (5) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Social_constructivism
18:55:29.726 [DEBUG] (2) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Augustine_of_Hippo
18:55:29.727 [DEBUG] (13) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/George_Berkeley
18:55:29.727 [DEBUG] (17) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Critical_realism_(philosophy_of_perception)
18:55:29.727 [DEBUG] (10) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Optical_illusion
18:55:29.727 [DEBUG] (8) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/A._J._Ayer
18:55:29.727 [DEBUG] (4) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Edmund_Husserl
18:55:29.727 [DEBUG] (9) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Metaepistemology
18:55:29.727 [DEBUG] (7) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Direct_realism
18:55:29.728 [DEBUG] (6) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Privileged_access
18:55:29.734 [DEBUG] (12) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Aspectism
18:55:29.735 [DEBUG] (16) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Infinitism
18:55:29.735 [DEBUG] (11) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/George_Steiner
18:55:29.736 [DEBUG] (14) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Immanuel_Kant
18:55:29.736 [DEBUG] (5) wiki_utils::client: Sending request to https://en.wikipedia.org/wiki/Knowledge
